"geneName"
"GP1BA"
"GP1BB"
"GP9"
"ITGA2B"
"ITGB3"
"SLC35A1"
"LY6G6F"
"CMTM5"
"PPBP"
"BMP6"
"TREML1"
"TMEM40"
"CLDN5"
"PEAR1"
"PDZK1IP1"
"LTBP1"
"CTTN"
"TUBB1"
"LINC00853"
"MYL9"
"AC147651.1"
"PF4"
"AL731557.1"
"BEND2"
"SYTL4"
"ALOX12"
"AC090409.1"
"LGALSL"
"CAVIN2"
"SPX"
"GNG11"
"CXCL5"
"RGS6"
"TRAPPC3L"
"ENKUR"
"CLEC1B"
"ABLIM3"
"PDGFA"
"TAL1"
"SPARC"
"ELOVL7"
"TSPAN9"
"MPIG6B"
"PF4V1"
"PTCRA"
"HGD"
"LINC00989"
"CLU"
"AP001189.1"
"LCN2"
"C2orf88"
"ITGB5"
