"geneName"
"CCL2"
"CCL5"
"CD40"
"CD40LG"
"ICAM1"
"IL1B"
"PF4"
"SELE"
"SELP"
"SELPLG"
"TGFB1"
"TGFB2"
"TGFB3"
"TLR2"
"TLR4"
"TLR7"
"VCAM1"
"GP9"
"CMTM5"
"TREML1"
"ITGA2B"
"PPBP"
"PDZK1IP1"
"TMEM40"
"ITGB3"
"TUBB1"
"CLDN5"
"AC147651.1"
"CTTN"
"MYL9"
"CAVIN2"
"CXCL5"
"GNG11"
"SPARC"
"LGALSL"
"CLEC1B"
"TAL1"
"PDGFA"
"MPIG6B"
"AP001189.1"
"ENKUR"
"CLU"
"PTCRA"
"ITGB5"
"C2orf88"
"PRKAR2B"
"ACRBP"
"MYLK"
"ESAM"
"SMOX"
"TMEM158"
"ARHGAP6"
"GNAZ"
"FAXDC2"
"TRIM58"
"PDE5A"
"TNNC2"
"HIST1H2BJ"
"GMPR"
"NRGN"
"SMIM5"
"AP003068.2"
"SH3BGRL2"
"NT5M"
"MAP3K7CL"
