"geneName"
"CCL2"
"CCL5"
"CD40"
"CD40LG"
"ICAM1"
"IL1B"
"PF4"
"SELE"
"SELP"
"SELPLG"
"TGFB1"
"TGFB2"
"TGFB3"
"TLR2"
"TLR4"
"TLR7"
"VCAM1"
"CMTM5"
"GP9"
"ITGA2B"
"CLDN5"
"TREML1"
"PPBP"
"PDZK1IP1"
"TMEM40"
"CTTN"
"ITGB3"
"TUBB1"
"MYL9"
"AC147651.1"
"LGALSL"
"CLEC1B"
"CAVIN2"
"GNG11"
"PDGFA"
"MPIG6B"
"TAL1"
"PTCRA"
"ENKUR"
"SPARC"
"CXCL5"
"CLU"
"ITGB5"
"PRKAR2B"
"AP001189.1"
"MYLK"
"ESAM"
"C2orf88"
"SMOX"
"ACRBP"
"ARHGAP6"
"TMEM158"
"FAXDC2"
"GNAZ"
"TRIM58"
"PDE5A"
"GMPR"
"TNNC2"
"HIST1H2BJ"
"NRGN"
"SMIM5"
"SH3BGRL2"
"CTDSPL"
"AP003068.2"
"NT5M"
