"geneName"
"GP1BA"
"GP1BB"
"GP9"
"ITGA2B"
"ITGB3"
"SLC35A1"
"CMTM5"
"PPBP"
"TREML1"
"CLDN5"
"TMEM40"
"PDZK1IP1"
"CTTN"
"MYL9"
"TUBB1"
"AC147651.1"
"PF4"
"LGALSL"
"CAVIN2"
"CXCL5"
"GNG11"
"TAL1"
"CLEC1B"
"SPARC"
"PDGFA"
"ENKUR"
"MPIG6B"
"AP001189.1"
"CLU"
"PTCRA"
"C2orf88"
"ITGB5"
"GFI1B"
"ESAM"
"MYLK"
"PRKAR2B"
"ACRBP"
"SMOX"
"SELP"
"ARHGAP6"
"GNAZ"
"TRIM58"
"FAXDC2"
"PDE5A"
"HIST1H2BJ"
"TNNC2"
"GMPR"
"SMIM5"
"NRGN"
"SH3BGRL2"
"AP003068.2"
