"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.587052714871112,36,1,0.499999986111112,"UCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.750515316552893,166,0.993975903614458,0.496987948813326,"UCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.407358273709461,45,0.977777777777778,0.499999988636364,"UCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.181380461457461,34,1,0.499999985294118,"UCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.785964376143074,248,0.995967741935484,0.499999997975708,"UCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.746431856579798,20,1,0.499999975000001,"UCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,1.12739242099413,1,1,0.4999995000005,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",25395,135,7735,52,0.184401836976241,33317,0.7637842542846,0.522300336112643,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",445,5,41,1,1.08816858416844,492,0.90650406504065,0.541152248543585,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",118,0,22,0,0.308021255711622,140,0.842857142857143,0.421428568418367,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,1.80267294009016,11,0.909090909090909,0.454545413223144,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.480479347773731,1,0,0,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,-0.956402708849797,62,0.112903225806452,0.0564516119927159,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.290470985351343,3,0,0,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",90,0,75,0,0.295346409556606,165,0.545454545454545,0.27272727107438,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",11,0,33,0,-0.115499237192286,44,0.25,0.124999997159091,"UCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.231736922066004,5,0,0,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,-0.359943389621963,1,0,0,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD14 Mono","Mono",70,7,38,2,-0.105239640281856,117,0.615384615384615,0.435185169838822,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD16 Mono","Mono",50,4,15,1,0.724274607664173,70,0.728571428571429,0.484615358698229,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,0.0827627273997207,5,0.4,0.499999750000125,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,0.0851717278941513,40,0.525,0.499999976190477,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,0.186656442109545,29,0.517241379310345,0.499999966666669,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,0.303943919050079,5,0.4,0.499999750000125,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,0.0669999322501293,22,0.227272727272727,0.49999990000002,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,0.244989766640996,3,0.666666666666667,0.499999750000125,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,0.334599238064819,8,0.375,0.499999833333389,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,0.321612873925023,44,0.340909090909091,0.499999966666669,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.211106688444066,1,1,0.4999995000005,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,0.659341670946622,1,0,0,"UCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,0.855670914571199,2,1,0.499999750000125,"UCell","MANNE_UP",TRUE,"youden_dual"
