"celltype_clean","celltype.l3","FP_Count","TP_Count","Mean_Z","Cell_Count","Method","Signature","Ext","Mode"
"Early-NK-cells","CD4 TCM_1",0,0,-0.035787337775626,1,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_1",0,0,-0.234523313169384,1,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_2",0,0,-0.27194157103649,2,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_4",0,0,-0.410156231423617,5,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_5",0,0,-0.322692994440267,16,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","NK Proliferating",0,0,-0.0358021246785571,21,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","NK_1",4,0,-0.11815533370435,559,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","NK_2",4,0,0.0244025098883235,215,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","NK_3",0,0,-0.146728674715241,37,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","NK_4",0,0,0.00350320294790084,17,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","NK_CD56bright",0,0,0.00582300707244189,1,"AUCell","Standard",TRUE,"percentile"
"Early-NK-cells","gdT_2",0,0,0.0312860539197671,1,"AUCell","Standard",TRUE,"percentile"
"Intermediate-Monocytes","CD14 Mono",2,119,0.37822865819691,497,"AUCell","Standard",TRUE,"percentile"
"Intermediate-Monocytes","CD16 Mono",6,264,0.335331964865356,1561,"AUCell","Standard",TRUE,"percentile"
"Intermediate-Monocytes","Doublet",0,98,1.9041361672187,109,"AUCell","Standard",TRUE,"percentile"
"Intermediate-Monocytes","Platelet",0,2,7.35936462160303,3,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","ASDC_mDC",2,0,0.363858287742758,7,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","ASDC_pDC",0,0,0.221741363672118,3,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","B intermediate kappa",0,0,-0.258821891410886,4,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","B intermediate lambda",0,0,-0.100066004817045,1,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","B memory kappa",0,0,-0.232660163400067,3,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","B memory lambda",0,0,-0.139192149972691,1,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","B naive kappa",0,0,-0.514306303528408,1,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD14 Mono",1,1,0.651611418781637,6,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD16 Mono",39,57,0.223719695018919,1268,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD4 CTL",0,0,-0.0988239049708335,1,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD4 Naive",0,0,-0.461596681849455,78,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD4 TCM_1",0,0,-0.371216401244903,5,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD4 TEM_2",0,0,-0.498780055450771,1,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 Naive",0,0,-0.368541780460355,242,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 Naive_2",0,0,-0.267438959093975,3,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 Proliferating",0,0,-0.126305364068252,2,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TCM_1",0,0,-0.275264188125104,5,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TCM_2",0,0,-0.350176609961029,9,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_1",0,0,-0.375008459010688,34,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_2",0,0,-0.17451078136899,65,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_3",0,0,-0.319218996432895,8,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_4",0,0,-0.210895186549416,33,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_5",0,0,-0.296070627997961,49,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_6",0,0,-0.294206210779822,65,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","Doublet",0,12,1.9459635590439,16,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","HSPC",8,0,0.281987187302602,26,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","ILC",0,0,-0.114766910233713,76,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","MAIT",0,0,-0.227719993557183,11,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","NK Proliferating",1,0,-0.0785392400038436,349,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","NK_1",24,0,-0.103721317788177,1881,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","NK_2",150,1,-0.00958200294999164,6708,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","NK_3",19,0,-0.0803009129823996,1657,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","NK_4",22,0,-0.0545172946029417,1148,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","NK_CD56bright",1,0,-0.130111989485369,605,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","Plasma",0,0,-0.525174677182754,1,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","Plasmablast",0,0,-0.370533246329487,1,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","Platelet",1,2,2.15842640126487,7,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","Treg Memory",0,0,-0.504265996438203,3,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","Treg Naive",0,0,-0.37202376614494,10,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","cDC1",0,1,0.2622545203227,5,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","cDC2_1",0,1,0.581070498348904,2,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","cDC2_2",5,5,0.30673770125837,97,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","dnT_1",0,0,-0.318054527827072,3,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","dnT_2",0,0,-0.45727321892322,6,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","gdT_1",0,0,0.159222338079499,1,"AUCell","Standard",TRUE,"percentile"
