"celltype_clean","celltype.l3","FP_Count","TP_Count","Mean_Z","Cell_Count","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",3,0,-0.657460788661213,36,"AUCell","MANNE_UP",TRUE,"percentile"
"B-cells","B intermediate lambda",6,0,-0.75665192905929,169,"AUCell","MANNE_UP",TRUE,"percentile"
"B-cells","B memory kappa",7,0,-0.499008934657769,45,"AUCell","MANNE_UP",TRUE,"percentile"
"B-cells","B memory lambda",6,0,-0.229172493078085,36,"AUCell","MANNE_UP",TRUE,"percentile"
"B-cells","B naive kappa",7,0,-0.841482402412701,268,"AUCell","MANNE_UP",TRUE,"percentile"
"B-cells","B naive lambda",3,0,-0.674739852484081,20,"AUCell","MANNE_UP",TRUE,"percentile"
"B-cells","Plasma",1,0,0.66351006848192,2,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","CD14 Mono",60,12800,0.235322376561125,33834,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","CD16 Mono",3,362,1.22500819829919,490,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","Doublet",0,64,0.37452387284371,141,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","HSPC",0,0,-0.861581256006306,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","NK_4",0,0,-0.182768291817367,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","NK_CD56bright",0,0,0.0880109455459129,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","Platelet",0,26,-0.501806091758472,139,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","cDC1",0,1,-0.37662160947517,4,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","cDC2_1",0,63,0.249425608053023,157,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","cDC2_2",0,11,-0.126449194239054,45,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","gdT_2",0,0,-0.796310778680446,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Classical-Monocytes","pDC",0,2,0.232948702624936,5,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","ASDC_mDC",0,0,-0.271163166824388,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD14 Mono",3,41,-0.0317768350892221,136,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD16 Mono",4,60,1.05631323039957,79,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD4 CTL",0,1,0.105093161897481,5,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD4 Naive",6,6,-0.0546471207152896,41,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD4 Proliferating",0,0,-0.136519496455044,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD4 TCM_1",5,1,-0.0366176780379821,27,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD4 TCM_2",1,1,0.157757112745546,5,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD4 TCM_3",1,6,0.0347405062874165,23,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD4 TEM_1",1,0,0.241303323722646,2,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD4 TEM_3",1,2,0.185170713222407,8,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 Naive",10,9,0.106032378636144,44,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 Naive_2",0,0,0.171930130679161,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 Proliferating",0,1,0.910045985695595,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 TCM_1",1,0,0.639453235410389,2,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 TCM_2",0,1,-0.122253234982392,4,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 TCM_3",0,0,-0.459142141522864,4,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 TEM_1",0,2,-0.00332628113738494,9,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 TEM_2",0,1,-0.0425300091058059,3,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 TEM_4",1,1,-0.0173076317963131,8,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","CD8 TEM_5",0,0,-0.185752085066549,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","Doublet",0,12,1.20998302620713,17,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","HSPC",0,0,-0.369379694609967,3,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","MAIT",0,1,0.0207512727205987,3,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","NK Proliferating",0,0,-0.223049500681326,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","NK_1",0,0,-0.837337935856701,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","NK_2",0,0,-0.338112027852913,2,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","NK_4",1,0,0.330071172885815,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","Platelet",1,7,-0.621126439164605,69,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","Treg Memory",0,1,0.1152380589447,2,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","Treg Naive",0,1,-0.295219999895919,4,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","cDC1",0,0,-0.714629438484085,2,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","cDC2_1",0,5,0.0209999221580306,12,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","cDC2_2",4,17,-0.000186886510690455,53,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","gdT_1",0,1,0.276362894400536,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","gdT_2",1,0,0.0473567625258061,2,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","gdT_3",0,0,-0.681807712743081,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","gdT_4",0,1,0.26741151465299,1,"AUCell","MANNE_UP",TRUE,"percentile"
"DCs","pDC",0,3,0.526379903738257,3,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","CD14 Mono",0,0,-0.34613097221009,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","CD16 Mono",4,1,0.799272661319708,6,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","CD4 Naive",0,0,-1.5150319775772,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","CD4 TCM_1",0,0,-0.424082570844973,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_1",0,0,-0.926851733332165,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_2",0,0,0.0376594344659644,2,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_4",4,0,0.6033866345109,5,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_5",4,0,-0.0948122099352256,17,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","NK Proliferating",3,0,-0.440493433715475,31,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","NK_1",188,3,-0.0950762906616732,736,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","NK_2",81,1,-0.0371697656590066,296,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","NK_3",6,1,-0.314017897365767,40,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","NK_4",6,0,-0.12175757195909,19,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","NK_CD56bright",1,0,0.744818434522134,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","cDC2_2",0,0,-0.788105347245195,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Early-NK-cells","gdT_2",0,0,-0.422217700064234,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Intermediate-Monocytes","CD14 Mono",9,354,0.769110892536755,630,"AUCell","MANNE_UP",TRUE,"percentile"
"Intermediate-Monocytes","CD16 Mono",27,1859,1.57508024369833,2150,"AUCell","MANNE_UP",TRUE,"percentile"
"Intermediate-Monocytes","Doublet",0,102,1.33495599613362,117,"AUCell","MANNE_UP",TRUE,"percentile"
"Intermediate-Monocytes","Platelet",0,1,-0.855389885014253,5,"AUCell","MANNE_UP",TRUE,"percentile"
"Intermediate-Monocytes","cDC2_1",0,1,0.411379538926028,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","ASDC_mDC",3,0,-0.158450376836532,15,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","ASDC_pDC",1,3,0.477582451642257,6,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","B intermediate kappa",0,0,-0.625954832859953,4,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","B intermediate lambda",0,0,-1.32985030904983,2,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","B memory kappa",0,0,-1.21826887400229,3,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","B memory lambda",0,0,-0.748197112537384,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","B naive kappa",0,0,-1.51726982251408,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD14 Mono",2,0,0.0887154522853033,9,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD16 Mono",554,485,0.962875129613807,1417,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD4 CTL",1,0,0.0136026013944333,2,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD4 Naive",23,0,-0.117648780221377,84,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD4 Proliferating",1,0,-0.271349653902462,2,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD4 TCM_1",1,0,0.130753783840447,5,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD4 TEM_2",0,0,0.232351943975099,1,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 Naive",61,0,-0.170594358849468,264,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 Naive_2",0,1,-0.0105785563958138,3,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 Proliferating",1,0,0.117102929725439,2,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 TCM_1",3,0,0.339693906114427,5,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 TCM_2",0,0,-0.448740306723631,9,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_1",4,0,-0.35199336086954,39,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_2",21,0,-0.0946924078649459,76,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_3",3,0,-0.103614887568229,9,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_4",15,0,0.0420729619803795,42,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_5",16,1,0.0474789437148891,58,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_6",19,0,-0.0928950011793505,83,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","Doublet",0,14,1.33222941957011,16,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","HSPC",0,0,-0.728232025355357,34,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","ILC",31,0,0.0432627206257657,86,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","MAIT",2,0,-0.252110403681173,12,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","NK Proliferating",70,2,-0.281941116828081,409,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","NK_1",704,5,-0.118894117455914,2817,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","NK_2",2342,26,-0.0731163320527382,8858,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","NK_3",403,2,-0.201523119421137,1919,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","NK_4",393,4,-0.0059941771528583,1312,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","NK_CD56bright",202,3,0.0399369812995323,667,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","Plasma",2,0,0.373709149155104,3,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","Platelet",2,3,-0.433929088567274,20,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","Treg Memory",1,0,0.0195701878927975,4,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","Treg Naive",2,0,-0.359422414865537,11,"AUCell","MANNE_UP",TRUE,"percentile"
"Late-NK-cells","cDC1",0,1,-0.4011819576575,10,"AUCell","MANNE_UP",TRUE,"percentile"
