"Signature","Method","F1_Score","AUC","Precision","Recall"
"WeightedAUCell","WeightedAUCell",0.787894927053811,0.91819857585763,0.709001591838831,0.886544100336023
"UCell","UCell",0.777999844768705,0.913433820449574,0.711547676090081,0.858142670633307
"AUCell","AUCell",0.758515116724072,0.903862121536102,0.672587319980136,0.869614536737795
"AddModuleScore","AddModuleScore",0.720352896602739,0.877561053689519,0.622585021284558,0.85454701110802
