geneName
ACTB
ACT
ACTA
FIBB
VASP
ITA2B
ITB3
GPV
GP1BA
GP1BB
GPIX
GELS
PECA1
LYAM3
KPCB
GPVI
ITA2
ICAM2
CD63
TSN9
PRIO
FCG2A
LAMB1
CD92
CD41
CD61
CD62P
CD9
CD23
CD31
CD36
CD42a
CD42b
CD42c
CD42d
CD49b
CD49f
CD51
CD84
CD109
CD110
CD147
CD151
CD226
CD107a
CD107b
ITGA2B
ITGB3
GP9
GP5
SELP
VWF
PF4
PPBP
RAB27B
VAMP8
SNAP23
CLIC3
THBS1
FERMT3
TREML1
TUBB1
ANXA3
ANXA5
GNAS
SPARC
F13A1
CMTM5
TMEM40
PDZK1IP1
CTTN
AC147651.1
CXCL5
LTBP1
CLDN5
MYL9
CAVIN2
ENKUR
GNG11
CLEC1B
TAL1
LGALSL
PDGFA
MPIG6B
HGD
LCN2
AP001189.1
CLU
ITGB5
PTCRA
C2orf88
PRKAR2B
ACRBP
SMOX
MYLK
GFI1B
ESAM
TMEM158
ARHGAP6
GNAZ
FAXDC2
TRIM58
PDE5A
C19orf33
GMPR
TNNC2
NRGN
HIST1H2BJ
