"geneName"
"ACTB"
"B2M"
"CCL5"
"CD99"
"CFL1"
"CLU"
"DYNLL1"
"F13A1"
"FLNA"
"FTH1"
"FTH1P5"
"GNAS"
"GPX1"
"H2AC18"
"H2AC20"
"H2AC6"
"H2BC14"
"H3-3A"
"HBB"
"HLA-C"
"HLA-E"
"ITGA2B"
"ITM2B"
"MLH3"
"MYL12A"
"MYL6"
"NCOA4"
"NRGN"
"OAZ1"
"PF4"
"PGRMC1"
"PKM"
"PPBP"
"PTMA"
"RGS10"
"RNF24"
"RPL41"
"SPARC"
"TAGLN2"
"TLN1"
"TMSB4X"
"TUBA4A"
"UBC"
"YWHAH"
"GP9"
"CMTM5"
"TMEM40"
"TREML1"
"TUBB1"
"CTTN"
"CAVIN2"
"MYL9"
"GNG11"
"MPIG6B"
"C2orf88"
"PTCRA"
"ACRBP"
"PRKAR2B"
"GMPR"
"HIST1H3H"
"AP003068.2"
"SH3BGRL2"
"TSC22D1"
"CA2"
"MAP3K7CL"
"RAB27B"
"HIST1H2AC"
"ANKRD9"
"TMEM140"
"CD9"
"MTURN"
"DAB2"
"MMD"
"RGS18"
"CTDSPL"
"SNCA"
"DMTN"
"B3GAT1"
"GAS2L1"
"NEXN"
"PTGS1"
"GZMH"
"ZNF683"
"FEZ1"
"TPM1"
"SENCR"
