"geneName"
"A2M"
"ACADM"
"ACE"
"ACKR2"
"ACVRL1"
"ADAM12"
"ADORA2A"
"AFF2"
"AFF3"
"AGBL3"
"ALDH1A1"
"ALDH1A2"
"ALG1L2"
"ANKDD1B"
"ANKRD55"
"APCDD1L"
"ARHGAP29"
"ARPIN"
"ATP13A4"
"ATP13A5"
"AVPR1A"
"BANK1"
"BEND2"
"BTLA"
"CA2"
"CA5A"
"CA8"
"CAVIN1"
"CAVIN2"
"CCDC103"
"CCDC50"
"CD34"
"CDH5"
"CDYL"
"CEMIP"
"CEP128"
"CIITA"
"CLEC10A"
"CLEC4C"
"CLIC5"
"COA1"
"COBLL1"
"COL15A1"
"COL25A1"
"COL4A1"
"COL4A2"
"CPAMD8"
"CPNE4"
"CPVL"
"CPXM2"
"CTNND2"
"CXCL12"
"CXCL5"
"CXCL6"
"CYCS"
"DAB2IP"
"DACH1"
"DCDC2"
"DLK1"
"DMD"
"DNAH12"
"DPYD"
"DPYSL3"
"DYTN"
"EFNA5"
"ENAH"
"ENKUR"
"ENSG00000285976"
"ENTHD1"
"ENTREP2"
"EPHA1"
"ERC2"
"ERV3-1"
"FAM107A"
"FAM241A"
"FAM83D"
"FGD5"
"FLNB"
"FTO"
"G6PC2"
"GARIN1B"
"GLYATL2"
"GPIHBP1"
"GPR55"
"GPR88"
"GRHL1"
"H2BC7"
"HAT1"
"HECW2"
"HEMGN"
"HLA-DMB"
"HLA-DOA"
"HLA-DQA1"
"HLA-DQB1"
"HLA-DRA"
"HLA-DRB5"
"HSD17B3"
"IFT70A"
"IGF2"
"IGFBP5"
"IL33"
"IL3RA"
"IL7R"
"IRF8"
"ITGB3BP"
"KCNAB1"
"KCND3"
"KCTD12"
"KDR"
"KIF26A"
"KRT5"
"KRTAP17-1"
"KRTAP29-1"
"LDB2"
"LEPR"
"LGALS2"
"LIG4"
"LILRA4"
"LIMS3"
"LOXHD1"
"LRRCC1"
"LYSMD3"
"MAGOHB"
"MAP3K7CL"
"MAPK10"
"MECOM"
"MFAP3L"
"MINAR1"
"MLH3"
"MPEG1"
"MS4A14"
"MS4A7"
"MSANTD3-TMEFF1"
"MYEOV"
"MYOF"
"NEURL1"
"NLGN1"
"NOMO1"
"NR4A1"
"NRN1"
"NXT2"
"OR11L1"
"P2RY10"
"P2RY12"
"PACSIN1"
"PAPPA"
"PARD3B"
"PAX5"
"PDCD1LG2"
"PF4V1"
"PHACTR3"
"PHEX"
"PID1"
"PLCB1"
"PLCL1"
"PLD4"
"POC1B"
"POLR3G"
"PPM1E"
"PREX2"
"PRIMPOL"
"PTPRD"
"RAMP3"
"RASEF"
"REG1B"
"RETREG1"
"RGS18"
"RNF212B"
"RPA1"
"SASH1"
"SCIN"
"SDK1"
"SEPTIN10"
"SERPINB8"
"SETD7"
"SH2D1A"
"SHTN1"
"SIGLEC12"
"SLC18A3"
"SLC37A2"
"SLC4A8"
"SLFN14"
"SMAD5"
"SMIM36"
"SNAP25"
"SPC25"
"SPIB"
"STEAP1B"
"STK26"
"STRBP"
"STXBP6"
"SYNPO"
"TAS2R14"
"TBX3"
"TECTA"
"TFPI2"
"TGFB2"
"TGFBI"
"TMEM150C"
"TMEM70"
"TNFRSF21"
"TNFSF18"
"TNS1"
"TPPP3"
"UGT2B28"
"UNC5B"
"UTRN"
"VEGFA"
"VWA8"
"WDFY4"
"WLS"
"WNT9A"
"WWOX"
"YAP1"
"ZC3H12B"
"ZNF117"
"ZNF229"
"ZNF257"
"ZNF347"
"ZNF367"
"ZNF438"
"ZNF490"
"ZNF660"
"ZNF665"
"DNASE1L3"
"FCER1A"
"PTCRA"
"SERPINF1"
"SMIM5"
"C2orf88"
"ACRBP"
"TUBB1"
"GP9"
"PF4"
"GNG11"
"MAP1A"
"DERL3"
"PRKAR2B"
"TREML1"
"SPARC"
"PPBP"
"MYBL2"
"MPIG6B"
"CD1C"
"TSPAN13"
"HIST1H3H"
"FCRL5"
"CLU"
"RHEX"
"MACROD2"
"AP003068.2"
"TCL1A"
"P2RY14"
"COL19A1"
"AL139020.1"
"TSC22D1"
"IGHD"
"MZB1"
"ABCB4"
"GAS6"
"BLNK"
