"geneName"
"GP1BA"
"GP1BB"
"GP9"
"ITGA2B"
"ITGB3"
"SLC35A1"
"CMTM5"
"PPBP"
"TREML1"
"TMEM40"
"CLDN5"
"CTTN"
"TUBB1"
"MYL9"
"PF4"
"CAVIN2"
"AC147651.1"
"SPARC"
"GNG11"
"MPIG6B"
"CLU"
"C2orf88"
"PTCRA"
"PRKAR2B"
"MYLK"
"ACRBP"
"TRIM58"
"GMPR"
"NRGN"
"AP003068.2"
"SH3BGRL2"
"HIST1H3H"
"MAP3K7CL"
"CA2"
"TSC22D1"
"AP000547.3"
"CTDSPL"
"HIST1H2AC"
"SNCA"
"CD9"
"RGS18"
"MTURN"
"MMD"
"TMEM140"
"PTGS1"
"ANKRD9"
"RAB27B"
"GAS2L1"
"FRMD3"
"F13A1"
"PGRMC1"
"NEXN"
"DAB2"
