"geneName"
"GP1BA"
"GP1BB"
"GP9"
"ITGA2B"
"ITGB3"
"SLC35A1"
"CMTM5"
"PPBP"
"TREML1"
"TMEM40"
"CLDN5"
"CTTN"
"TUBB1"
"PDZK1IP1"
"MYL9"
"PF4"
"ENKUR"
"AC147651.1"
"CAVIN2"
"TAL1"
"CLEC1B"
"LGALSL"
"SPARC"
"GNG11"
"PDGFA"
"MPIG6B"
"CLU"
"PTCRA"
"C2orf88"
"PRKAR2B"
"MYLK"
"ACRBP"
"ESAM"
"SMOX"
"TRIM58"
"ARHGAP6"
"GNAZ"
"PDE5A"
"HIST1H2BJ"
"GMPR"
"SMIM5"
"NRGN"
"AP003068.2"
"SH3BGRL2"
"NT5M"
"HIST1H3H"
"MAP3K7CL"
"TSC22D1"
"CA2"
"HIST1H2AC"
"AP000547.3"
