"geneName"
"ADAMTS18"
"ADGRG1"
"ALOX12"
"APOE"
"C1QTNF1"
"CD9"
"CEACAM1"
"CELA2A"
"CTSG"
"EMILIN1"
"EMILIN2"
"F11R"
"F2"
"FCER1G"
"FLNA"
"FUNDC2"
"GNAQ"
"GP1BA"
"GP1BB"
"GP5"
"GP6"
"GP9"
"HRG"
"HTR2A"
"IL6"
"IL6R"
"IL6ST"
"JAK2"
"LYN"
"MFSD2B"
"MMRN1"
"NOS3"
"PDGFA"
"PDGFB"
"PDGFRA"
"PDPN"
"PEAR1"
"PLA2G4A"
"PLEK"
"PRKCA"
"PRKCD"
"PRKCQ"
"PRKG1"
"PTPRJ"
"SELP"
"SERPINE2"
"SH2B3"
"SVEP1"
"SYK"
"TEC"
"THBD"
"TLR4"
"TMX1"
"UBASH3B"
"VPS33B"
"CMTM5"
"PPBP"
"TMEM40"
"TREML1"
"ITGA2B"
"CTTN"
"MYL9"
"PF4"
"TUBB1"
"CAVIN2"
"SPARC"
"MPIG6B"
"GNG11"
"PTCRA"
"CLU"
"TRIM58"
"PRKAR2B"
"MYLK"
"C2orf88"
"ACRBP"
"GMPR"
"NRGN"
"CCL20"
"CTDSPL"
"CXCL3"
"IL1A"
"AP003068.2"
"TNFAIP6"
"MAP3K7CL"
"CA2"
"IL1B"
"KCNJ2"
"MIR3945HG"
"CXCL2"
"DNAAF1"
"TSC22D1"
"KCNJ2-AS1"
"GAS2L1"
"SNCA"
"C15orf48"
"CCL4L2"
"HIST1H3H"
"PTX3"
"RGS18"
"F3"
"AP003354.2"
"CCL3"
